CASE#,DATE OF OCCURRENCE,BLOCK, IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JG386649,08/17/2023 04:52:00 PM,050XX W MONTROSE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,1623,45,26,1142034,1928783,41.960644962,-87.75320386,"(41.960644962, -87.75320386)"
JG386510,08/17/2023 02:42:00 PM,024XX W CORTEZ ST,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,N,N,1212,36,03,1160002,1906915,41.900284894,-87.687749552,"(41.900284894, -87.687749552)"
JG386334,08/17/2023 12:27:00 PM,040XX W HARRISON ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,ALLEY,N,N,1132,24,03,1149465,1897053,41.873433563,-87.726708664,"(41.873433563, -87.726708664)"
JG386624,08/17/2023 03:00:00 PM,004XX E 46TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,221,3,07,1180011,1874617,41.811220504,-87.615248591,"(41.811220504, -87.615248591)"
JG385953,08/17/2023 05:15:00 AM,029XX W MADISON ST,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,N,N,1124,27,03,1156710,1899877,41.881039312,-87.700032019,"(41.881039312, -87.700032019)"
JG387736,08/17/2023 10:00:00 AM,018XX N MOBILE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,2513,29,06,1134218,1911664,41.913810131,-87.782344396,"(41.913810131, -87.782344396)"
JG385871,08/17/2023 12:49:00 AM,071XX S PARNELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,732,6,08B,1173863,1857591,41.764638085,-87.638303716,"(41.764638085, -87.638303716)"
JG386504,08/17/2023 11:30:00 AM,018XX S INDIANA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,132,3,07,1177942,1891495,41.857582212,-87.622325051,"(41.857582212, -87.622325051)"
JG386243,08/17/2023 01:20:00 AM,030XX N HALSTED ST,0560,ASSAULT,SIMPLE,STREET,N,N,1933,44,08A,1170395,1920489,41.937311691,-87.649178107,"(41.937311691, -87.649178107)"
JG386955,08/17/2023 09:25:00 PM,010XX W LAKE ST,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,1214,27,06,1169328,1901620,41.885557376,-87.65364901,"(41.885557376, -87.65364901)"
JG392997,08/18/2023 12:00:00 AM,035XX N LAKE SHORE DR,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,N,N,1925,46,11,1172010,1924422,41.948068465,-87.643126381,"(41.948068465, -87.643126381)"
JG407840,09/01/2023 08:30:00 PM,008XX W GARFIELD BLVD,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,934,16,07,1171570,1868381,41.794297638,-87.64639223,"(41.794297638, -87.64639223)"
JG387888,08/17/2023 02:41:00 PM,021XX E 95TH ST,0560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,N,N,431,7,08A,1192317,1842399,41.722520812,-87.571158974,"(41.722520812, -87.571158974)"
JG386219,08/17/2023 11:00:00 AM,090XX S RIDGELAND AVE,031A,ROBBERY,ARMED - HANDGUN,RESIDENCE,N,N,413,8,03,1189443,1845461,41.730992597,-87.581587954,"(41.730992597, -87.581587954)"
JG386987,08/17/2023 09:25:00 PM,001XX S KILBOURN AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,1113,28,16,1146418,1898855,41.878437014,-87.737849931,"(41.878437014, -87.737849931)"
JG393105,08/17/2023 08:30:00 PM,074XX S BENNETT AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,333,8,06,1189998,1855923,41.759687972,-87.579218945,"(41.759687972, -87.579218945)"
