Año,Fecha,Festivo,Día
2015,15 de junio,Sagrado Corazón de Jesús,Lunes
2015,29 de junio,San Pedro y San Pablo,Lunes
2015,20 de julio,Día de la independencia,Lunes
2015,7 de agosto,Batalla de Boyacá,Viernes
2015,17 de agosto,Asunción de la Virgen,Lunes
2015,12 de octubre,Día de la raza,Lunes
2015,2 de noviembre,Todos los Santos,Lunes
2015,16 de noviembre,Independencia de Cartagena,Lunes
2015,8 de diciembre,Inmaculada Concepción,Martes
2015,25 de diciembre,Navidad,Viernes
2016,1 de enero,Año Nuevo,Viernes
2016,11 de enero,Epifanía,Lunes
2016,21 de marzo,Día de San José,Lunes
2016,24 de marzo,Jueves Santo,Jueves
2016,25 de marzo,Viernes Santo,Viernes
2016,1 de mayo,Día del trabajo,Domingo
2016,9 de mayo,Ascensión de Jesús,Lunes
2016,30 de mayo,Corpus Christi,Lunes
2016,6 de junio,Sagrado Corazón de Jesús,Lunes
